Nemo,Planta Generadora,Potencia Disponible,Costo en US$/MWH ,FPNE
SAA-B,SANTA ANA,20.75242718446602,17.90735345572343,0.9822780369802775
HGY-H,HIDROELECTRICA GUAYACAN,2.79126213592233,19.213701035645755,0.9841935171634907
CHO-H,CHOLOMA,9.371844660194174,20.04183974625089,0.9235679076549127
LES-H,LOS ESCLAVOS,13.109708737864077,20.51191901331608,0.9794305441123194
ACG-G,ACTUN CAN GENERACION,0.0,29.063228461908544,1.1468099644774035
SAL-H,EL SALTO,3.470873786407767,29.527583662767636,0.9946631710685376
VITO_503,"VITOL ELECTRICIDAD DE GUATEMALA, S. A.",24.0,50.76342806484203,0.9676257469699875
SAA-B2,SANTA ANA BLOQUE 2,44.08349514563107,59.199124698710484,0.9822780369802775
GAT-B,GENERADORA DEL ATLANTICO BIOGAS,0.5737864077669902,59.98636320257896,1.090081086915913
EDC-I,ENERGIA DEL CARIBE,120.0,60.59160805052298,0.9676257469699875
COMCOMEL_521,"COMERCIALIZADORA ELECTRONOVA, S. A.",25.0,62.66885744812746,0.9676257469699875
CHX-H,CHIXOY,278.2300970873786,74.46459378093603,0.9797945076372493
JEN-C,JAGUAR ENERGY,134.54174757281552,76.00994041552502,0.9878971038459449
GEN-B,GENOR,38.73980582524272,104.42628280947574,1.0852631823232564
TER-B2,"TERMICA B3,B4",29.64271844660194,111.50466260500876,1.0503596644642823
ECR-B,ELECTRO CRISTAL BUNKER,0.0,114.10783307906848,1.1468099644774035
TER-B,"TERMICA B1,B2 ",13.657281553398057,115.07486824681872,1.0503596644642823
GGO-B,GENOSA,13.286504854368932,122.79083278283161,0.983868235617109
SJO-C,SAN JOSE,135.79611650485438,139.62331193324445,0.9896628155194133
PQP-B,PUERTO QUETZAL POWER,0.0,142.60895894345288,0.9829676973911857
ARI-O,ARIZONA,122.86504854368931,143.08994901650937,0.99063561748593
LPA-B4,LAS PALMAS 4,0.0,153.75154637460162,0.9865917031521826
LPA-B5,LAS PALMAS 5,0.0,153.75154637460162,0.9865917031521826
TDL-B1,"TDL U6, U7, U8, U12",0.0,160.12202436411607,1.0309012807921556
TDL-B2,"TDL U3, U4, U9",8.543592233009708,160.12202436411607,1.0309012807921556
ELG-B,ELECTRO GENERACION,0.0,160.91744485226397,1.0309012807921556
TDL-B3,"TDL U10,U11, U13",22.854368932038835,162.86442692808978,1.0135423868398472
GCS-C,GENERADORA COSTA SUR,0.0,184.90518262860738,0.985045402247262
LLI-C,LA LIBERTAD,17.501941747572815,188.8969136110649,1.040461679562812
ISI-B,SAN ISIDRO,55.884466019417474,199.62945029945837,0.9903348413945734
TAM-G,TAMPA,0.0,283.4916153225022,0.9870485928893334
MAG-B5,MAGDALENA BLOQUE 5,42.376699029126215,295.66585435159334,0.9779282786444692
MAG-B1,MAGDALENA BLOQUE 1,11.96990291262136,301.7642485035806,0.9786447581662275
ESC-G5,ESCUINTLA GAS 5,33.11165048543689,352.89108083845025,0.9861399703647106
